Attack_category,Attack subcategory,Protocol,Source IP,Source Port,Destination IP,Destination Port,Attack_Name,Attack Reference,.,Time
Fuzzers,BGP,tcp,175.45.176.0,37018,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928818-1421928819
Generic,SMTP,tcp,175.45.176.1,26279,149.171.126.17,25,SMTP: Executable File Attachment in Archive (EXE in TAR) (https://strikecenter.bpointsys.com/bps/strikes/generic/smtp/attachment_tar_exe.xml),-,.,1421928818-1421928820
Fuzzers,BGP,tcp,175.45.176.0,25868,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928819-1421928820
DoS,Miscellaneous,tcp,175.45.176.0,45574,149.171.126.11,1024,Microsoft Distributed Transaction Controller Memory Corruption (https://strikecenter.bpointsys.com/bps/strikes/denial/misc/ms06_018_msdtc_memory_corruption.xml),CVE 2006-1184 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d1184)MSB MS06-018 (http://www.microsoft.com/technet/security/bulletin/MS06%2d018.mspx)BID 17905 (http://www.securityfocus.com/bid/17905)OSVDB 25336 (http://www.osvdb.org/25336)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aN%2fA%3aP%29),.,1421928819-1421928820
Fuzzers,BGP,tcp,175.45.176.0,40814,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928821-1421928821
Fuzzers,TFTP,udp,175.45.176.3,2491,149.171.126.16,69,Fuzzer: TFTP Maximum Transfer Mode (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/tftp/transfermode.xml),-,.,1421928821-1421928821
Exploits,Clientside,tcp,175.45.176.1,29369,149.171.126.11,80,iLife Photocast XML Title Format String Variant 1 (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/ilife_photocast_xml_title_format_string_01.xml),CVE 2007-0051 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2007%2d0051)BID 21871 (http://www.securityfocus.com/bid/21871)OSVDB 31165 (http://www.osvdb.org/31165)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/6.8%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421928821-1421928822
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,175.45.176.3,6540,149.171.126.11,111,SunRPC TCP Portmapper GETPORT Request (debug_svcv2/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_tcp/debug_svc_v2_tcp.xml),-,.,1421928821-1421928822
Fuzzers,BGP,tcp,175.45.176.0,39524,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928822-1421928822
Fuzzers,TFTP,udp,175.45.176.3,14395,149.171.126.16,69,Fuzzer: TFTP Maximum Transfer Mode (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/tftp/transfermode.xml),-,.,1421928822-1421928822
Fuzzers,TFTP,udp,175.45.176.3,22717,149.171.126.16,69,Fuzzer: TFTP Maximum Transfer Mode (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/tftp/transfermode.xml),-,.,1421928822-1421928822
DoS,VNC,tcp,175.45.176.2,63019,149.171.126.16,5900,Real VNC Server CutText Denial of Service (https://strikecenter.bpointsys.com/bps/strikes/denial/vnc/real_vnc_server_cut_text_dos.xml),BID 39895 (http://www.securityfocus.com/bid/39895)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/6.8%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421928822-1421928823
Fuzzers,BGP,tcp,175.45.176.0,31555,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928823-1421928823
Fuzzers,BGP,tcp,175.45.176.0,17380,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928824-1421928824
Fuzzers,RIP,UDP,175.45.176.1,18971,149.171.126.13,520,Fuzzer: RIP Version Field (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/version.xml),-,.,1421928824-1421928824
DoS,Browser,tcp,175.45.176.1,42709,149.171.126.18,80,Microsoft Internet Explorer Time Behavior Use After Free (https://strikecenter.bpointsys.com/bps/strikes/denial/browser/ie_ms11_090_use_after_free_time.xml),CVE 2011-3397 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d3397)MSB MS11-090 (http://www.microsoft.com/technet/security/bulletin/MS11%2d090.mspx)BID 50970 (http://www.securityfocus.com/bid/50970)OSVDB 77665 (http://www.osvdb.org/77665)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928824-1421928825
Fuzzers,BGP,tcp,175.45.176.0,40266,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928825-1421928825
Exploits,Miscellaneous Batch,UDP,175.45.176.3,68,149.171.126.19,67,DHCPD Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/cve_2012_2152.xml),OSVDB 95781 (http://www.osvdb.org/95781)http://packetstormsecurity.com/files/122590/pineapp_ldapsyncnow_exec.rb.txt (http%3a%2f%2fpacketstormsecurity.com%2ffiles%2f122590%2fpineapp_ldapsyncnow_exec.rb.txt)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928825-1421928825
Fuzzers,BGP,tcp,175.45.176.0,44354,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928825-1421928826
Generic, IXIA,tcp,175.45.176.0,15203,149.171.126.11,25,IBM_Lotus_Notes_WPD_Attachment_Viewer_Buffer_Overflow_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/ibm_lotus_notes_wpd_attachment_viewer_buffer_overflow_attack.xml),CVE 2005-2920 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2005%2d2920)BID 14866 (http://www.securityfocus.com/bid/14866)OSVDB 19506 (http://www.osvdb.org/19506)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421928825-1421928827
Fuzzers,RIP,udp,175.45.176.1,41511,149.171.126.13,520,Fuzzer: RIP Version Field (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/version.xml),-,.,1421928826-1421928826
Fuzzers,BGP,tcp,175.45.176.0,39664,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928826-1421928827
Exploits,Clientside,tcp,175.45.176.3,13779,149.171.126.19,110,Microsoft Office Excel Cache Code Execution (POP3 Quoted Printable) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/office/ms09_067_excel_cache_memory_corruption_pop3_download_quoted_printable.xml),CVE 2009-3127 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2009%2d3127)MSB MS09-067 (http://www.microsoft.com/technet/security/bulletin/MS09%2d067.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928826-1421928830
Exploits,Clientside Microsoft Office,tcp,175.45.176.3,13779,149.171.126.19,110,Microsoft Office Excel Cache Code Execution (POP3 Quoted Printable) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/office/ms09_067_excel_cache_memory_corruption_pop3_download_quoted_printable.xml),CVE 2009-3127 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2009%2d3127)MSB MS09-067 (http://www.microsoft.com/technet/security/bulletin/MS09%2d067.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928826-1421928830
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,175.45.176.1,2072,149.171.126.13,111,SunRPC UDP Portmapper GETPORT Request (yppasswddv1/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_tcp/yppasswdd_v1_tcp.xml),-,.,1421928827-1421928827
Fuzzers,BGP,Tcp,175.45.176.0,63560,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928827-1421928828
Fuzzers,BGP,tcp,175.45.176.0,25891,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928828-1421928829
Exploits,Clientside,tcp,175.45.176.0,27892,149.171.126.15,110,Microsoft Office Excel Sheet Object Type Confusion Code Execution (BIFF5) (POP3 Base64) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/office/ms10_017_excel_sheet_object_type_biff5_pop3_download_base64.xml),CVE 2010-0258 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2010%2d0258)MSB MS10-017 (http://www.microsoft.com/technet/security/bulletin/MS10%2d017.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928828-1421928831
Exploits,Clientside Microsoft Office,tcp,175.45.176.0,27892,149.171.126.15,110,Microsoft Office Excel Sheet Object Type Confusion Code Execution (BIFF5) (POP3 Base64) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/office/ms10_017_excel_sheet_object_type_biff5_pop3_download_base64.xml),CVE 2010-0258 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2010%2d0258)MSB MS10-017 (http://www.microsoft.com/technet/security/bulletin/MS10%2d017.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928828-1421928831
Fuzzers,BGP,tcp,175.45.176.0,62649,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928829-1421928830
Generic, IXIA,tcp,175.45.176.3,12852,149.171.126.10,80,ClamAV_UPX_File_Handling_Buffer_Overflow_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/clamav_upx_file_handling_buffer_overflow_attack.xml),CVE 2007-0714 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2007%2d0714)BID 22827 (http://www.securityfocus.com/bid/22827)OSVDB 33902 (http://www.osvdb.org/33902)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928830-1421928830
Fuzzers,BGP,tcp,175.45.176.0,44060,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928830-1421928831
Exploits,Office Document,tcp,175.45.176.3,25421,149.171.126.18,25,Microsoft Word RTF Object Parsing Vulnerability (dpcallout) (SMTP Base64) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms08_072_rtf_dpcallout_smtp_attachment_base64.xml),CVE 2008-4028 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d4028)MSB MS08-072 (http://www.microsoft.com/technet/security/bulletin/MS08%2d072.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928831-1421928833
Shellcode,Linux,udp,175.45.176.2,6709,149.171.126.19,63397,Shellcode: Linux x86 Reverse Connect Stage - metasploit (UDP) (https://strikecenter.bpointsys.com/bps/strikes/shellcode/linux/reverse_x86_stage_metasploit_udp.xml),-,.,1421928832-1421928832
Fuzzers,BGP,tcp,175.45.176.0,42411,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928832-1421928834
Generic, IXIA,tcp,175.45.176.1,23575,149.171.126.14,54345,HP_Mercury_Multiple_Products_Agent_Command_Processing_Buffer_Overflow_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/hp_mercury_multiple_products_agent_command_processing_buffer_overflow_attack.xml),CVE 2006-5855 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d5855)BID 21440 (http://www.securityfocus.com/bid/21440)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928833-1421928834
Generic, IXIA,tcp,175.45.176.2,37065,149.171.126.15,80,Microsoft_Excel_Malformed_Filter_Records_Handling_Code_Execution_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/microsoft_excel_malformed_filter_records_handling_code_execution_attack.xml),CVE 2009-1856 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2009%2d1856)BID 35294 (http://www.securityfocus.com/bid/35294)OSVDB 56113 (http://www.osvdb.org/56113)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/6.8%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421928833-1421928834
Fuzzers,BGP,tcp,175.45.176.0,39709,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928834-1421928834
Exploits,Clientside,tcp,175.45.176.3,55564,149.171.126.10,80,Microsoft Windows Vista Backup Manager Insecure Library Loading (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/ms11_001_dll_hijacking_vista_bitlocker.xml),CVE 2010-3145 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2010%2d3145)MSB MS11-001 (http://www.microsoft.com/technet/security/bulletin/MS11%2d001.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928834-1421928839
Fuzzers,BGP,tcp,175.45.176.0,45247,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928835-1421928836
Fuzzers,RIP,udp,175.45.176.1,28826,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928836-1421928836
Reconnaissance, SunRPC Portmapper (UDP) UDP Service ,udp,175.45.176.3,32245,149.171.126.10,111,SunRPC UDP Portmapper GETPORT Request (bootparamv1/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/bootparam_v1_udp.xml),-,.,1421928836-1421928836
Fuzzers,BGP,tcp,175.45.176.0,32942,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928836-1421928837
Fuzzers,BGP,tcp,175.45.176.0,24576,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928837-1421928837
Fuzzers,RIP,udp,175.45.176.1,31122,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928837-1421928837
Fuzzers,BGP,tcp,175.45.176.0,39187,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928838-1421928838
Fuzzers,RIP,UDP,175.45.176.1,11144,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928838-1421928838
Exploits,TFTP,udp,175.45.176.3,62515,149.171.126.17,69,Kiwi CatTools TFTP Service Directory Traversal (https://strikecenter.bpointsys.com/bps/strikes/exploits/tftp/tftp_kiwi_cattools_traversal.xml),CVE 2007-0888 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2007%2d0888)BID 22490 (http://www.securityfocus.com/bid/22490)OSVDB 33162 (http://www.osvdb.org/33162)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928838-1421928838
Fuzzers,RIP,UDP,175.45.176.1,11926,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928839-1421928839
Fuzzers,BGP,tcp,175.45.176.0,40509,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928839-1421928840
Fuzzers,BGP,tcp,175.45.176.1,56476,149.171.126.11,179,BGP Open: Params: Random Parameter Types (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_random_parameter_types.xml),-,.,1421928839-1421928840
Fuzzers,BGP,tcp,175.45.176.0,30212,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928840-1421928841
Exploits,Clientside,tcp,175.45.176.1,3956,149.171.126.12,25,Netscape Client Detection Tool Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/netscape_client_detection_tool_overflow.xml),CVE 2003-0553 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0553)http://www.securiteam.com/securityreviews/5ZP0E1PAKQ.html (http%3a%2f%2fwww.securiteam.com%2fsecurityreviews%2f5ZP0E1PAKQ.html)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421928840-1421928842
Fuzzers,BGP,Tcp,175.45.176.0,27621,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928841-1421928841
Fuzzers,BGP,tcp,175.45.176.0,40187,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928842-1421928842
Exploits,Miscellaneous Batch,tcp,175.45.176.2,40859,149.171.126.16,143,Internet Explorer EMF File Rendering Denial of Service (IMAP4) (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/ie_ms05_053_emf_imap4.xml),CVE 2012-2152 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2012%2d2152)BID 53354 (http://www.securityfocus.com/bid/53354)OSVDB 83228 (http://www.osvdb.org/83228)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421928842-1421928843
Fuzzers,RIP,udp,175.45.176.1,31059,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928843-1421928843
Fuzzers,BGP,tcp,175.45.176.0,62854,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928843-1421928844
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,175.45.176.2,39206,149.171.126.19,111,SunRPC TCP Portmapper GETPORT Request (mountdv1/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_tcp/mountd_v1_tcp.xml),-,.,1421928843-1421928844
Fuzzers,RIP,udp,175.45.176.1,11507,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928844-1421928844
Fuzzers,BGP,tcp,175.45.176.0,65499,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928844-1421928845
Fuzzers,BGP,tcp,175.45.176.0,16499,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928845-1421928847
Exploits,Web Application,tcp,175.45.176.0,16361,149.171.126.11,80,WebPageTest's Upload Feature resultimage.php Remote File Upload (https://strikecenter.bpointsys.com/bps/strikes/exploits/webapp/upload/webpagetes_upload_feature_resultimage_php.xml),OSVDB 83822 (http://www.osvdb.org/83822)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aP%2fA%3aN%29),.,1421928845-1421928847
Generic, IXIA,tcp,175.45.176.0,64190,149.171.126.13,80,Lotus_Notes_URI_Handler_Argument_Injection_Vulnerability_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/lotus_notes_uri_handler_argument_injection_vulnerability_attack.xml),CVE 2011-1907 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d1907)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421928845-1421928847
Exploits,SMB,tcp,175.45.176.3,25566,149.171.126.12,139,Samba NTTrans Parameter Displacement Memory Overwrite Variant 2 (https://strikecenter.bpointsys.com/bps/strikes/exploits/smb/samba_nttrans_displacement_02.xml),CVE 2003-0085 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0085)BID 7106 (http://www.securityfocus.com/bid/7106)OSVDB 6323 (http://www.osvdb.org/6323)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928845-1421928848
Generic,SIP,UDP,175.45.176.2,42392,149.171.126.11,5060,RFC 4475: SIP Torture Tests: OK Response with Broadcast Via Header Field Value (https://strikecenter.bpointsys.com/bps/strikes/generic/sip/rfc_4475_3_3_10_broadcast_via_header.xml),http://www.ietf.org/rfc/rfc4475.txt (http%3a%2f%2fwww.ietf.org%2frfc%2frfc4475.txt),.,1421928846-1421928846
Fuzzers,RIP,UDP,175.45.176.1,43882,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928847-1421928847
Exploits,Office Document,tcp,175.45.176.0,9237,149.171.126.11,143,Microsoft Office Excel OBJ Record Parsing Remote Code Execution (IMAP4 Quoted Printable) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms09_021_excel_obj_record_imap4_download_quoted_printable.xml),CVE 2009-0557 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2009%2d0557)MSB MS09-021 (http://www.microsoft.com/technet/security/bulletin/MS09%2d021.mspx)BID 34351 (http://www.securityfocus.com/bid/34351)OSVDB 53182 (http://www.osvdb.org/53182)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928847-1421928850
Fuzzers,RIP,udp,175.45.176.1,31100,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928848-1421928848
Fuzzers,BGP,tcp,175.45.176.0,39598,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928848-1421928849
Exploits,Webserver,tcp,175.45.176.3,38919,149.171.126.10,80,Sun Java System Web Server 7.0u7 WEBDAV Stack Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/httpd/sun_java_webdav_stack_overflow.xml),CVE 2010-0361 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2010%2d0361)http://intevydis.blogspot.com/2010/01/sun-java-system-web-server-70u7-webdav.html (http%3a%2f%2fintevydis.blogspot.com%2f2010%2f01%2fsun%2djava%2dsystem%2dweb%2dserver%2d70u7%2dwebdav.html)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421928849-1421928849
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,175.45.176.2,4688,149.171.126.19,111,SunRPC UDP Portmapper GETPORT Request (x25v1/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_tcp/x25_v1_tcp.xml),-,.,1421928849-1421928849
Fuzzers,BGP,tcp,175.45.176.0,63526,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928849-1421928850
Fuzzers,BGP,tcp,175.45.176.0,39716,149.171.126.17,179,BGP Open: Params: Bad String Capabilities (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/bgp/open_params_bad_string_capabilities.xml),-,.,1421928850-1421928850
Fuzzers,RIP,udp,175.45.176.1,1266,149.171.126.19,520,Fuzzer: RIP Route Random Metric (https://strikecenter.bpointsys.com/bps/strikes/fuzzers/rip/metric_random.xml),-,.,1421928850-1421928850
